"id","name","address","neighborhood","priority","img","latitude","longitude","zipcode","about","array_to_string","volunteer_form_url","donation_text","testimonial","testimonial_author","testimonial_video","testimonial_img","noteable_video","principal","instagram_url","facebook_url","website_url"
"2b13163f-4bb6-40e5-b743-d48e1c009cdb","Balboa High School","1000 Cayuga Ave, San Francisco, CA","Excelsior",False,"balboa.jpeg","37.722","-122.44041","94112","Balboa (""Bal"") is a unique high school with a rich history and tradition.","Bal was the first high school in SFUSD to organize into small learning communities called Pathways.
In their Pathways, students build relationships with teachers, while engaging in rigorous academic, athletic, and artistic pursuits.
The five Pathways at BAL are: CAST (Creative Arts for Social Transformation), GDA (Game Design Academy), Law Academy, PULSE (Peers United for Leadership, Service and Equity) and WALC (Wilderness, Art, and Literacy Collaborative)
Bal is the only SFUSD high school with an on-campus teen health clinic.","https://docs.google.com/forms/d/e/1FAIpQLSd5ZGgHnefy4wTZ4Iasus5MV8H9SM5XxccdBxIgy2R0qVEHFg/viewform","Mail a check made out to Balboa High School and mail it to:
Balboa High School
1000 Cayuga Avenue
San Francisco, CA 94112","""We are the only high school to have an on-campus clinic. I find it really convenient, because my doctor is like across town from where I live, and I have to miss a whole day of school when I'm sick. Our clinic is COMPLETELY free, counselors, medicine, sex ed.""",NULL,NULL,NULL,NULL,"Dr. Catherine Arenson","http://www.instagram.com/balboahs","https://www.facebook.com/pages/Balboa-High-School-California/140869085980447 ","https://www.sfusd.edu/school/balboa-high-school"
"04b7e883-6a80-49f1-9ce3-3045e4847b59","Burton High School","400 Mansell St, San Francisco, CA","Portola",True,"burton.jpeg","37.72126","-122.4063","94134","Burton High School was established in 1984 as a result of a Consent Decree between the City of San Francisco and the NAACP, and is named after Phillip Burton, a member of the California Assembly who championed the civil rights of others. Burton also:","Is a “wall-to-wall” academy school, offering specialized career and technical education in Arts & Media, Engineering, Health Sciences, and Performing Arts to students in the form of project-based learning classes
Has a student body that represents every ethnicity, socio-economic group, and neighborhood of San Francisco
Has an extensive partnership with the Bayview YMCA, and offers college classes by City College on Saturdays as well as after-school tutoring
Offers after-school program called P.A.C.E (Pumas’ Academics, College & Career, and Enrichments) offers academic, community service based and skill building activities
Burton has the only public high school marching band in the city!","https://docs.google.com/forms/d/1xqB69hsheJEHtUcfcrAlqRYxCv7EsYpDgdqmktWxAWo/viewform","Donate to Burton's PTSA. All of your donation goes directly to programs benefitting teachers an students!","""I like my teachers because they really care about me and they’re always willing to go an extra mile for me when I need it.""","Daniela Simental, student","https://www.youtube.com/embed/jwMX9zSxaA0?si=ch5T8GWlPJCxJHGz&amp;start=192",NULL,"https://www.youtube.com/embed/jwMX9zSxaA0?si=bL4VMGrxRQ_xipUf","Suniqua Thomas","https://www.instagram.com/burtonpumas/","https://www.facebook.com/burtonpumas/","https://www.sfusd.edu/school/phillip-and-sala-burton-academic-high-school"
"54f6d8d5-b6bb-411a-8b8e-1f6917fbb3a2","Downtown High School","693 Vermont St, San Francisco, CA","Potrero Hill",False,"downtown.jpeg","37.761565","-122.40394","94107","Downtown High School (DHS) is one of two continuation schools in SFUSD, dedicated to serving students whose success was limited in the district's comprehensive and charter high schools.","DHS represents a second chance for students to succeed and a chance to graduate from high school.
DHS meets the need of these at-risk students by offering an educational experience that enables them to re-engage with school, find meaning in learning, achieve academic success, and graduate.
DHS offers project-based learning with the following five projects: Acting for Critical Transformations (ACT), Get Out and Learn (GOAL), Making, Advocating and Designing for Empowerment (MADE), Music and Academics Resisting the System (MARS), and Wilderness Arts and Literacy Collaborative (WALC).","https://docs.google.com/forms/d/e/1FAIpQLSecfLxlYgdHcs4vZLtW-V8CKVT38kY4rc7qqb5ocj-X9J3jLQ/viewform","Mail a check made out to Downtown High School and mail it to:
Downtown High School
693 Vermont St.
San Francisco, CA 94107",NULL,NULL,NULL,NULL,NULL,"Todd Williams","www.instagram.com/downtown_hs",NULL,"https://www.sfusd.edu/school/downtown-high-school"
"e5beed1f-a045-4d52-97df-bb431f7a2d35","Galileo Academy of Science & Technology","1150 Francisco St, San Francisco, CA","Russian Hill",False,"galileo.jpeg","37.80379","-122.424145","94109","Galileo Academy of Science and Technology (""Galileo"") is committed to providing equal access to all of their educational programs.","Galileo offers three career technical Academic pathways: 1) Biotechnology, Environmental Science, Health Sciences, 2) Information Technology, Media, Arts, and 3) Hospitality, Travel and Tourism.
Galileo provides servies that meet diverse learning needs, including extensive Honors, Advanced Placement (AP) courses, English Language Development (ELD), and Special Education Services.
Galileo aims to provide support for their students for life, college, and beyond through programs like AVID with additional academic counseling for college prepation, the Wellness Center, and their Futurama after-school program with sports, arts, enrichment, and tutoring.","https://forms.gle/H89nowxGSMLoBqTaA","Donate to Galileo's PTSA. Donations support teacher/classroom stipends, educational enrichment grants, community events, World Party, and student leadership.","""I like my teachers because they're very understanding and very supportive. I take some cool classes such as health academy, which is very interesting because we got to learn a lot of things related to medical field ... and we get to visit hospitals.""","Senior in 2021 - Romaissa Khaldi","https://www.youtube.com/embed/KkDW52FEdsg?si=MCUnI9xwh_PhhchA&amp;start=170",NULL,"https://www.youtube.com/embed/KkDW52FEdsg?si=lsyO4inn548P7bTE","Ambar Panjabi","https://www.instagram.com/galileoasb/","https://www.facebook.com/GalileoAcademy/","https://www.sfusd.edu/school/galileo-academy-science-technology"
"a03319aa-8d08-4fc7-b173-a580a511163b","Ida B. Wells High School","1099 Hayes St, San Francisco, CA","Lower Haight",False,"idabwells.jpeg","37.7751","-122.433985","94117","Ida B. Wells (IBW) is one of two continuation schools in SFUSD, dedicated to serving students whose success was limited in the district's comprehensive and charter high schools.","IBW represents a second chance for students who are 16+ to succeed and a chance to graduate from high school.
IBW meets the need of these at-risk students by offering an educational experience that enables them to re-engage with school, find meaning in learning, achieve academic success, and graduate.
IBW's special programs include Culinary Arts, Drama, Computer Applications and Robotics, Ceramics, and Surfing.","https://docs.google.com/forms/d/e/1FAIpQLSf71Z-9hmWL13xOeIDiVP2atl3Wj4BHMnsOrowM9XAFycvIhg/viewform","Mail a check made out to Ida B. Wells High School and mail it to:
Ida B. Wells
1099 Hayes St.
San Francisco, CA 94117","""I love this school the teachers are awesome and the students are great!!! I graduated from here on time!! And I was behind like 150 credits and caught up within a year!! Thank you Ida b wells""","Reyanna L.",NULL,NULL,NULL,"Katie Pringle","https://www.instagram.com/sf_idabwellshs","https://www.facebook.com/pages/Ida-B-Wells-Continuation-High-School/1920936394824346","https://www.sfusd.edu/school/ida-b-wells-high-school"
"358ec4ce-d4f1-44c4-9be8-f0726e28e500","Independence High School","1350 7th Ave, San Francisco, CA","Inner Sunset",False,"independence.jpeg","37.76309","-122.46388","94122","Independence is a small alternative high school in SFUSD.","Independence serves students who have significant obligations outside of school, including family and employment.
Independence creates a custom schedule for each student to meet their needs.
The school offers a unique hexamester system to maximize opportunities for students.","https://docs.google.com/forms/d/e/1FAIpQLScCyflGm6ePuNRFLQ4rCYYgHwzxWzBLkDtJjf1bgziWwwy7bg/viewform","Mail a check made out to Independence High School and mail it to:
Independence High School
1350 7th Ave
San Francisco, CA 94122
","""I've met some of the most amazing, resilient people, grown, and had an amazing time all in all----this school is truly a hidden gem in the school system.""",NULL,NULL,NULL,NULL,"Anastasia (Anna) Klafter","https://www.instagram.com/sfindependence/","https://www.facebook.com/sfindependence/","https://www.sfusd.edu/school/independence-high-school"
"d09c1af9-bb2b-4eae-8fe7-b560bf5b6bb5","SF International High School","655 De Haro St, San Francisco, CA","Potrero Hill",False,"international.jpeg","37.76169","-122.40082","94107","SF International is a small public high school that offers a unique program designed for recent immigrant students.","All subjects teach English development through meaningful projects that keep students motivated and connected to their learning.
SF International offers programs every day until 6:00 PM for all students.
Community volunteers interested in supporting SF International should go through nonprofit RIT (Refugee & Immigrant Transitions).","https://www.tfaforms.com/5026463","Mail a check made out to SF Interntional High School and mail it to:
SF International High School
655 De Haro St.
San Francisco, CA 94107
","""I like everything about my school, we all have the same experience that makes us be a good community, we are all English learners with big goals. Our school is small and we receive a lot of attention from the teachers that every day pushes us to be a great student.""",NULL,NULL,NULL,NULL,"Nick Chan","http://www.instagram.com/sfihuskies",NULL,"https://www.sfusd.edu/school/san-francisco-international-high-school"
"224f34db-98c3-4b4e-b798-7d7c49c90d5b","June Jordan School for Equity","325 La Grande Ave, San Francisco, CA","Excelsior",True,"junejordan.jpeg","37.7195","-122.42539","94112","June Jordan is a small alternative high school named after activist June Jordan. The school was founded through community organizing by a group of teachers, parents, and youth.","As a school for Social Justice serving primarily working class communities of color, the mission of JJSE is not just to prepare students for college but to also be positive agents of change in the world.
The school's three pillars are Community, Social Justice, and Independent Thinking.
Motorcycle Mechanics class and is home to a <a href=""https://www.urbansprouts.org/jjse"" target=""_blank"" class=""hover:underline text-blue-500"">community farm</a>.","https://docs.google.com/forms/d/1hVYScQ93TU03a5qh3pyoxVYFp2_xmkAj3-xGH20qNrg/viewform?edit_requested=true","Donate to June Jordan on the Small Schools for Equity website. All of your donation goes directly to programs benefitting teachers and youth!","""June Jordan is a breath of fresh air myself and many others. There is a strong and immediate sense of community and family. The school is aimed towards helping students, specifically of Latinx or African American descent, thrive in all aspects of a academic scholar. Most schools are tied strictly towards academics but June Jordan has a different approach. They acknowledge the fact that a single being and their destiny should not be overlooked by a grade book. We build leaders at this school, we build demonstrators, organizers, and creators.""",NULL,NULL,NULL,NULL,"Amanda Chui","https://www.instagram.com/officialjjse","https://www.facebook.com/JuneJordanSchoolforEquity","https://www.sfusd.edu/school/june-jordan-school-equity"
"dcb889e2-52ae-4d07-83a0-25d0897d8596","Lincoln High School","2162 24th Ave, San Francisco, CA","Parkside/Sunset",False,"lincoln.jpeg","37.74729","-122.48109","94116","Lincoln is one of the three largest high schools in SFUSD. The school features:","Partnerships with 14 different community agencies
Four CTE (Career Technical Education) funded multi-year Academy Programs: CTE Business Academy, CTE Digital Media Design Academy, CTE Green Academy, and CTE Teacher Academy
Two pathways: Art & Architecture Pathway (Formerly ACE Architecture, Construction, Engineering) and the Biotechnology Pathway
Services for special education (severely and non-severely impaired) students
A student newspaper called the ""Lincoln Log""","https://docs.google.com/forms/d/1iO_ex9OJK81xD9EQ8D4SZHjhJDhgyLcdb2IQq5u4rDg/edit","Donate to Lincoln's PTSA.","""Here at Lincoln you've got tons of supportive staff and also you'll be open to major student leadership opportunities.""","Kelly Wong, student","https://www.youtube.com/embed/PfHdxukonSg?si=RvM3VjT_SAPSI0Sb&amp;start=225",NULL,"https://www.youtube.com/embed/PfHdxukonSg?si=Q3d3ieVn2fdtD_Ka","Sharimar Manalang","https://www.instagram.com/alhsgreenacademy/","https://www.facebook.com/groups/191813114254895/","https://www.sfusd.edu/school/abraham-lincoln-high-school"
"aef627e1-d88c-483a-a546-73e176b760fa","Lowell High School","1101 Eucalyptus Dr, San Francisco, CA","Lakeshore",False,"lowell.jpeg","37.73068","-122.48392","94132","Established in 1856, Lowell High School is the oldest public high school west of Mississippi, recognized as one of California's highest-performing public high scools.","They have been honored as a National Blue Ribbon school 4 times, and a California Distinguished School 8 times and ranked #1 in the Western region for the number of Advanced Placement (AP) exams offered (31).
With a wide range of academic opportunities, Lowell has the largest Visual and Performing Arts Department in the city and a World Language Department with instruction in eight languages.
Lowell aims to connect PTSA and Alumni meaningfully within its community.
One of the only SFUSD schools with an established journalism program and student-run publication, The Lowell.","https://forms.gle/PWzEnLfgVWxcMDRz5","Donate to Lowell's PTSA. Your donation will fund grants for student organizations, clubs, and teachers. It will also fund college readiness, diversity and inclusion, wellness, and hospitality programs. Any remainder at the end of the school year will go into our rainy day fund for next year.",NULL,NULL,NULL,NULL,"https://www.youtube.com/embed/c4BiiF55SvU?si=9XB3PhXZAP3ooIZn","Michael Jones","https://www.instagram.com/lowellhs/?hl=en","https://www.facebook.com/pages/Lowell-High-School-San-Francisco/109617595723992","https://www.sfusd.edu/school/lowell-high-school"
