"schoolId","name","details","url","img","category"
"2b13163f-4bb6-40e5-b743-d48e1c009cdb","Career-based Mentoring","All of Bal's Pathway programs need career-based mentoring, such as being a guest speaker","","/volunteer/event/stock7.png","volunteer"
"2b13163f-4bb6-40e5-b743-d48e1c009cdb","Tutoring","Provide one-on-one academic support to students on a range of topics","","/volunteer/tutoring/stock2.png","volunteer"
"2b13163f-4bb6-40e5-b743-d48e1c009cdb","Event Volunteers","Provide support for school-sponsored events such as shows and field trips","","/volunteer/event/stock1.png","volunteer"
"2b13163f-4bb6-40e5-b743-d48e1c009cdb","Donors Choose","","https://www.donorschoose.org/schools/california/san-francisco-unified-school-district/balboa-high-school/4391",NULL,"donate"
"2b13163f-4bb6-40e5-b743-d48e1c009cdb","PTSA","","https://www.sfusd.edu/school/balboa-high-school/ptsa/cash-appeal",NULL,"donate"
"2b13163f-4bb6-40e5-b743-d48e1c009cdb","WALC Pathway","","https://walcsf.net/donate-new/",NULL,"donate"
"04b7e883-6a80-49f1-9ce3-3045e4847b59","Tutoring","Provide one-on-one academic support to students on a range of topics","","/volunteer/tutoring/stock3.png","volunteer"
"04b7e883-6a80-49f1-9ce3-3045e4847b59","Event Volunteer","Provide support for school-sponsored events","","/volunteer/event/stock4.png","volunteer"
"04b7e883-6a80-49f1-9ce3-3045e4847b59","Career Prep and Mentoring","Provide students with mentoring, career insight and readiness","","/volunteer/event/stock6.png","volunteer"
"04b7e883-6a80-49f1-9ce3-3045e4847b59","Burton's Marching Band","","https://www.paypal.com/donate/?hosted_button_id=Q95CE7W539Z2U",NULL,"donate"
"04b7e883-6a80-49f1-9ce3-3045e4847b59","Donors Choose","","https://www.donorschoose.org/schools/california/san-francisco-unified-school-district/philip-sala-burton-high-school/4390",NULL,"donate"
"04b7e883-6a80-49f1-9ce3-3045e4847b59","Food Pantry","","https://www.gofundme.com/f/j7awn-burton-high-school-food-pantry",NULL,"donate"
"54f6d8d5-b6bb-411a-8b8e-1f6917fbb3a2","Tutoring","Provide one-on-one academic support to students on a range of topics","","/volunteer/tutoring/stock1.png","volunteer"
"54f6d8d5-b6bb-411a-8b8e-1f6917fbb3a2","Event Volunteer","Provide support for school-sponsored events","","/volunteer/event/stock3.png","volunteer"
"54f6d8d5-b6bb-411a-8b8e-1f6917fbb3a2","Career Prep and Mentoring","Provide students with mentoring, career insight and readiness","","/volunteer/event/stock2.png","volunteer"
"54f6d8d5-b6bb-411a-8b8e-1f6917fbb3a2","Donors Choose","","https://www.donorschoose.org/schools/california/san-francisco-unified-school-district/downtown-alternative-cont-high-school/4386",NULL,"donate"
"54f6d8d5-b6bb-411a-8b8e-1f6917fbb3a2","WALC Pathway","","https://walcsf.net/donate-new/",NULL,"donate"
"e5beed1f-a045-4d52-97df-bb431f7a2d35","Academic After-School Tutors (Futurama)","Help students at Galileo with afterschool Math,
              Science, English, Social Studies tutoring.","","/volunteer/tutoring/stock4.png","volunteer"
"e5beed1f-a045-4d52-97df-bb431f7a2d35","Remote Graphic Design (w/ PTSA)","Support Galileo's online PTSA presence through remote-friendly design tasks!","","/volunteer/tutoring/stock5.png","volunteer"
"e5beed1f-a045-4d52-97df-bb431f7a2d35","Event Volunteer (with PTSA) ","Help Galileo's PTSA organize Galileo-unique events like World Party and with projects for school beautification.","","/volunteer/event/stock1.png","volunteer"
"e5beed1f-a045-4d52-97df-bb431f7a2d35","Donors Choose","","https://www.donorschoose.org/schools/california/san-francisco-unified-school-district/galileo-academy-science-tech/4398",NULL,"donate"
"a03319aa-8d08-4fc7-b173-a580a511163b","Tutoring","Provide one-on-one academic support to students on a range of topics","","/volunteer/tutoring/stock4.png","volunteer"
"a03319aa-8d08-4fc7-b173-a580a511163b","Event Volunteer","Provide support for school-sponsored events","","/volunteer/event/stock1.png","volunteer"
"a03319aa-8d08-4fc7-b173-a580a511163b","Career Prep and Mentoring","Provide students with mentoring, career insight and readiness","","/volunteer/event/stock7.png","volunteer"
